Date,Start Time,Temp,Feels Like,Wind,Sky,Precip,Mi,Type,Felt,Top1,Top2,Bottom1,Bottom2,Head Warmth,Head Hat,Hands
10/18/22,1:00 PM,45,35,15,Cloudy or Night,None,3,Easy,Perfect,Blue Nike Tech Tee,Chicago Marathon quarter zip,Nike Calf Crops,,Bondi Band,,Old Navy tech gloves (removed)
10/20/22,9:00 AM,40,30,10,Sunny,None,3,Easy,Perfect,Teal Nike base,Teal UA funnel neck,Nike unlined tights,,Bondi Band,,Old Navy tech gloves (removed)
11/13/22,3:15 PM,35,30,5,Cloudy or Night,None,3,Easy,Cold,Blue Nathan base,Run Mag Mile sunset half zip,Nike tights with mesh backs of knees,,wool single layer,baseball cap,
11/18/22,10:15 AM,30,20,10,Sunny,None,3,Easy,Cold,Black smartwool base,Blue smartwool half zip,Black Athleta Rainier tights ,,wool double layer,baseball cap,Sugoi gloves
11/28/22,10:00 AM,40,35,5,Sunny,None,3,Easy,Warm ,Black smartwool base,black smartwool half zip,Black purple Athleta tights,,wool single layer,baseball cap,
12/1/22,12:00 PM,30,25,10,Sunny,None,3.5,Easy,Perfect,Teal Nike base,Teal UA funnel neck,Black Athleta Rainier tights,,wool single layer,baseball cap,Sugoi gloves
12/4/22,9:30 AM,25,15,10,Sunny,None,4,Run/Walk,Warm ,Black UA mockneck,Purple UA half zip,Black purple Athleta tights,Black Athleta cargo hybrid tights,wool single layer and beanie,baseball cap,"Sugoi gloves, Brooks shell mittens (removed)"
12/8/22,12:00 PM,40,35,10,Cloudy or Night,None,3,Easy,Perfect,Purple NB unlined base,New Balance Teal half zip,Nike tights with mesh backs of knees,,Bondi Band,,
12/10/22,2:30 PM,40,40,5,Cloudy or Night,None,4,Easy,Perfect,Pink wool,purple asym Nike lined top,Nike unlined tights,,fleece headband,,Sugoi gloves
12/12/22,12:45 PM,40,35,10,Cloudy or Night,None,3,Easy,Perfect,Blue striped UA half zip,,Nike unlined tights,,fleece headband,,Sugoi gloves
12/14/22,12:30 PM,40,35,10,Cloudy or Night,Light,2,Easy,Perfect,Black UA mockneck,Nike purple asym,Target lined black tights ,,wool single layer,,Sugoi gloves
12/18/22,2:00 PM,20,10,10,Sunny,None,3,Easy,Perfect,Black smartwool base,Black smartwool half zip,Black purple Athleta tights,Black Athleta cargo hybrid tights,wool single layer and beanie,,"Sugoi gloves, Brooks mittens (2)"
1/9/23,2:30 PM,40,40,5,Sunny,None,3,Easy,Perfect,Purple NB unlined base,Purple/Gray striped cowl neck,Nike unlined tights,,Bondi Band,,Old Navy tech gloves (removed)
1/11/23,3:00 PM,45,45,5,Cloudy or Night,None,3,Easy,Perfect,Thick purple long sleeve,,Nike Calf Crops,,,,
1/19/23,1:00 PM,40,40,5,Cloudy or Night,None,3,Easy,Perfect,Teal Nike base,Teal UA funnel neck,Target lined black tights ,,fleece headband,,Sugoi gloves (remvoed)
1/23/23,1:00 PM,30,20,10,Sunny,None,3,Easy,Perfect,Purple Mock Neck,Blue Stripe UA Zip Up,UA Cold Gear tights,,wool double layer,,Sugoi gloves
2/5/23,10:00 AM,35,30,10,Sunny,None,3,Easy,Perfect,Teal Nike base,Teal UA funnel neck,Nike tights with mesh backs of knees,,Bondi Band,,Sugoi gloves (removed)
2/6/23,1:00 PM,40,30,10,Sunny,None,4,Easy,Perfect,Purple NB unlined base,Teal NB lined half zip,Nike unlined tights,,Bondi Band,,Sugoi gloves (remvoed)
2/12/23,10:00 AM,35,30,5,Sunny,None,3,Easy,Perfect,white unlined Athleta hoodie,gray RMM hoodie (removed),Nike unlined tights,,,baseball cap,
2/13/23,4:00 PM,50,45,5,Sunny,None,4,Easy,Perfect,Chicago Marathon quarter zip,,Nike Calf Crops,,,baseball cap,
2/15/23,5:30 PM,40,35,5,Cloudy or Night,None,4,Easy,Perfect,Purple Mock Neck,RMM ombre half zip,Relax Reflect star tights,,fleece headband,,Sugoi gloves
2/18/23,1:30 PM,45,40,5,Sunny,None,5,Long Run,Perfect,Blue Nathan base,New Balance half zip,Nike unlined tights,,,baseball cap,
2/20/23,4:00 PM,40,40,5,Sunny,None,4,Easy,Perfect,Black UA mockneck,F3 long sleeve tee,Nike unlined tights,,wool single layer,,Sugoi gloves
2/26/23,10:15 AM,40,35,5,Sunny,None,5,Easy,Perfect,Teal Nike base,RMM ombre half zip,Nike tights with mesh backs of knees,,,baseball cap,Sugoi gloves (removed)
3/4/23,2:30 PM,50,45,10,Cloudy or Night,Light,4,Easy,Perfect,Chicago Marathon quarter zip,,Nike Calf Crops,,,baseball cap,
3/5/23,10:15 AM,40,35,5,Sunny,None,3,Easy,Perfect,Blue Nathan base,white unlined Athelta hoodie,Nike unlined tights,,,baseball cap,
3/7/23,12:00 PM,40,35,10,Sunny,None,4,Easy,Perfect,Teal Nike base,Teal NB lined half zip,Nike unlined tights,,,baseball cap,